Roll Number,MARKS OBTAINED,CGPA,RESULT,PERCENTAGE
10.csv,616/ 1700,1.16,FAIL,36.24
102.csv,777/ 1700,1.26,FAIL,45.71
103.csv,554/ 1700,0.91,FAIL,32.59
11.csv,652/ 1700,0.99,FAIL,38.35
14.csv,820/ 1700,1.19,FAIL,48.24
15.csv,571/ 1700,1.07,FAIL,33.59
16.csv,1016/ 1700,1.9,FAIL,59.76
17.csv,698/ 1700,1.06,FAIL,41.06
18.csv,1215/ 1700,2.74,FAIL,71.47
19.csv,1074/ 1700,2.16,FAIL,63.18
20.csv,1122/ 1700,2.41,FAIL,66
21.csv,1188/ 1700,2.69,PASS,69.88
22.csv,824/ 1700,1.43,FAIL,48.47
24.csv,916/ 1700,1.66,FAIL,53.88
25.csv,1101/ 1700,2.17,PASS,64.76
27.csv,611/ 1700,0.83,FAIL,35.94
28.csv,954/ 1700,1.61,FAIL,56.12
29.csv,708/ 1700,0.97,FAIL,41.65
30.csv,1002/ 1700,2.01,FAIL,58.94
31.csv,850/ 1700,1.35,FAIL,50
32.csv,1071/ 1700,2.09,FAIL,63
33.csv,1056/ 1700,2.1,FAIL,62.12
34.csv,823/ 1700,1.26,FAIL,48.41
36.csv,1255/ 1700,3.03,PASS,73.82
38.csv,1194/ 1700,2.69,PASS,70.24
39.csv,972/ 1700,1.65,FAIL,57.18
40.csv,935/ 1700,1.83,FAIL,55
41.csv,1125/ 1700,2.39,PASS,66.18
42.csv,1209/ 1700,2.86,PASS,71.12
43.csv,1013/ 1700,1.84,FAIL,59.59
45.csv,898/ 1700,1.36,FAIL,52.82
46.csv,1078/ 1700,2.05,FAIL,63.41
47.csv,687/ 1700,1.13,FAIL,40.41
49.csv,1119/ 1700,2.35,PASS,65.82
51.csv,1099/ 1700,2.26,FAIL,64.65
52.csv,934/ 1700,1.8,FAIL,54.94
54.csv,818/ 1700,1.34,FAIL,48.12
56.csv,1257/ 1700,2.97,PASS,73.94
57.csv,1070/ 1700,2.09,FAIL,62.94
58.csv,1234/ 1700,2.89,PASS,72.59
59.csv,676/ 1700,1.18,FAIL,39.76
60.csv,1040/ 1700,2.12,FAIL,61.18
61.csv,1177/ 1700,2.53,PASS,69.24
62.csv,1048/ 1700,2.06,FAIL,61.65
63.csv,1212/ 1700,2.78,PASS,71.29
65.csv,1085/ 1700,2.32,FAIL,63.82
66.csv,831/ 1700,1.35,FAIL,48.88
67.csv,1149/ 1700,2.4,FAIL,67.59
68.csv,886/ 1700,1.36,FAIL,52.12
69.csv,860/ 1700,1.39,FAIL,50.59
70.csv,1068/ 1700,1.98,FAIL,62.82
71.csv,1037/ 1700,1.81,FAIL,61
72.csv,623/ 1700,0.95,FAIL,36.65
73.csv,1265/ 1700,3.07,PASS,74.41
74.csv,654/ 1700,1.26,FAIL,38.47
75.csv,1220/ 1700,2.84,PASS,71.76
76.csv,1070/ 1700,2.23,FAIL,62.94
77.csv,979/ 1700,1.76,FAIL,57.59
78.csv,1217/ 1700,2.73,PASS,71.59
79.csv,1074/ 1700,2.14,FAIL,63.18
80.csv,794/ 1700,1.31,FAIL,46.71
82.csv,1205/ 1700,2.75,PASS,70.88
84.csv,1065/ 1700,2.22,FAIL,62.65
85.csv,889/ 1700,1.66,FAIL,52.29
86.csv,1081/ 1700,2.14,FAIL,63.59
87.csv,1190/ 1700,2.71,PASS,70
88.csv,1232/ 1700,3.09,FAIL,72.47
89.csv,1111/ 1700,2.34,FAIL,65.35
90.csv,1014/ 1700,1.97,FAIL,59.65
91.csv,682/ 1700,1.03,FAIL,40.12
92.csv,708/ 1700,1.13,FAIL,41.65
94.csv,1121/ 1700,2.25,PASS,65.94
95.csv,999/ 1700,2.04,FAIL,58.76
96.csv,1200/ 1700,2.73,PASS,70.59
97.csv,1201/ 1700,2.8,PASS,70.65
99.csv,979/ 1700,1.88,FAIL,57.59
